"ID","step","hours","exposure","material","retain","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","dose","doseType"
"sa22081.04",1,2208,"1x","9025-PET",4,95.62,-0.19,1.08,1.89,6.3,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22089.06",1,2208,"1x","TPU",1,95.9,-0.04,0.78,1.43,9.1,0.399673,0.408635,0.17657,0.0601131,8012.3904,"fullSpectrum"
"sa22089.08",1,2208,"1x","TPU",3,96.2,-0.04,0.74,1.36,5.9,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22076.03",1,2208,"1x","9013-PET",3,95.19,-0.04,1.28,2.4,6.3,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22073.03",1,2208,"1x","9006-TPU",3,96.18,-0.05,0.72,1.31,5.9,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22079.02",1,2208,"1x","9013-TPU",2,96.22,-0.04,0.65,1.19,5.1,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22089.09",1,2208,"1x","TPU",4,96.17,-0.04,0.76,1.4,5.3,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22070.04",1,2208,"1x","9006-PET",4,96.03,-0.18,1.11,1.96,3.1,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22073.04",1,2208,"1x","9006-TPU",4,96.11,-0.05,0.64,1.16,6.8,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22081.01",1,2208,"1x","9025-PET",1,95.34,-0.17,1.17,2.1,6.7,0.101306,0.099422,0.0192033,0.0122164,8012.3904,"fullSpectrum"
"sa22081.02",1,2208,"1x","9025-PET",2,95.25,-0.16,1.25,2.25,8.6,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22070.02",1,2208,"1x","9006-PET",2,95.44,-0.18,1.15,2.04,5.9,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22081.03",1,2208,"1x","9025-PET",3,95.48,-0.19,1.15,2.02,7.6,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22070.03",1,2208,"1x","9006-PET",3,95.15,-0.15,1.22,2.2,7.6,NA,NA,NA,NA,8012.3904,"fullSpectrum"
"sa22087.09",1,2208,"1x","PET",4,95.03,-0.2,1.15,2.03,5.9,NA,NA,NA,NA,8012.3904,"fullSpectrum"
