ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22071.00,96.71,-0.03,0.33,0.57,2.2
sa22071.01,96.7,-0.03,0.34,0.61,2.9
sa22071.02,96.78,-0.03,0.33,0.58,3.1
sa22071.03,96.74,-0.04,0.33,0.57,3
sa22071.04,96.71,-0.03,0.36,0.63,2.9
sa22071.05,96.67,-0.04,0.34,0.59,3.3
sa22071.06,96.74,-0.03,0.42,0.76,2.6
sa22071.07,96.74,-0.02,0.35,0.62,3.2
sa22071.08,96.8,-0.05,0.34,0.58,2.1
sa22071.09,96.82,-0.03,0.3,0.53,1.5
sa22072.00,96.73,-0.04,0.36,0.62,1.8
sa22072.01,96.71,-0.03,0.37,0.67,3.3
sa22072.02,96.76,-0.03,0.35,0.63,2.3
sa22072.03,96.79,-0.04,0.33,0.58,2.1
sa22072.04,96.78,-0.05,0.36,0.62,1.8
sa22072.05,96.74,-0.05,0.34,0.59,2.9
sa22072.06,96.7,-0.04,0.37,0.65,2.8
sa22072.07,96.79,-0.03,0.33,0.58,1.4
sa22072.08,96.76,-0.05,0.37,0.64,2.7
sa22072.09,96.74,-0.05,0.37,0.64,3.2
sa22073.00,96.74,-0.05,0.37,0.64,2.6
sa22073.01,96.71,-0.05,0.36,0.63,2.9
sa22073.02,96.7,-0.04,0.36,0.62,4.3
sa22073.03,96.7,-0.04,0.36,0.63,3
sa22073.04,96.66,-0.03,0.36,0.64,3
sa22073.05,96.74,-0.04,0.36,0.63,2.9
sa22073.06,96.76,-0.05,0.36,0.63,2.5
sa22073.07,96.78,-0.04,0.33,0.57,2.5
sa22073.08,96.75,-0.04,0.33,0.58,3.5
sa22073.09,96.65,-0.04,0.35,0.62,4.4
