ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22080.00,95.8,-0.18,0.94,1.64,1.8
sa22080.01,95.79,-0.18,0.94,1.64,1.8
sa22080.02,95.8,-0.17,0.94,1.65,1.9
ss22080.03,95.81,-0.17,0.94,1.65,1.9
sa22080.04,95.83,-0.18,0.95,1.66,1.4
sa22080.05,95.8,-0.19,0.96,1.67,1.3
sa22080.06,95.73,-0.18,0.95,1.66,5.1
sa22080.07,95.8,-0.19,0.93,1.62,1.9
sa22080.08,95.76,-0.19,0.95,1.65,2.9
sa22080.09,95.82,-0.19,0.95,1.65,1.3
sa22080.10,95.82,-0.18,0.96,1.67,1.5
sa22080.11,95.82,-0.18,0.95,1.65,2.5
sa22080.12,95.82,-0.19,0.95,1.64,1.4
sa22080.13,95.82,-0.16,0.94,1.66,2.2
sa22080.14,95.8,-0.18,0.96,1.67,2.2
sa22080.15,95.82,-0.19,0.93,1.62,1.6
sa22080.16,95.81,-0.19,0.95,1.65,1.6
sa22080.17,95.82,-0.18,0.95,1.65,1.2
sa22080.18,95.78,-0.18,0.97,1.7,3
as22080.19,95.75,-0.19,0.96,1.67,2.7
sa22081.00,95.8,-0.17,0.94,1.65,1.5
sa22081.01,95.83,-0.17,0.94,1.64,1
sa22081.02,95.81,-0.18,0.95,1.66,1.8
sa22081.03,95.82,-0.19,0.94,1.64,1.4
sa22081.04,95.8,-0.16,0.94,1.64,1.7
sa22082.00,95.83,-0.19,0.95,1.65,1.6
sa22082.01,95.82,-0.19,0.94,1.64,2.2
sa22082.02,95.8,-0.18,0.94,1.64,1.7
sa22082.03,95.81,-0.17,0.94,1.65,1.5
sa22082.04,95.78,-0.17,0.95,1.66,2.3
