Sample Number,Product Name,Exposure,Step Number Retained
sa22086.08,PET,ASTMG154,3
sa22086.09,PET,ASTMG154,4
sa22086.10,PET,ASTMG154,4
sa22088.06,TPU,ASTMG154,1
sa22088.07,TPU,ASTMG154,2
sa22088.08,TPU,ASTMG154,3
sa22088.09,TPU,ASTMG154,4
sa22088.10,TPU,ASTMG154,4
sa22068.00,9006-PET,baseline,0
sa22070.09,9006-PET,baseline,0
sa22071.00,9006-TPU,baseline,0
sa22073.09,9006-TPU,baseline,0
sa22074.00,9013-PET,baseline,0
sa22076.09,9013-PET,baseline,0
sa22077.00,9013-TPU,baseline,0
sa22079.09,9013-TPU,baseline,0
sa22080.00,9025-PET,baseline,0
sa22082.04,9025-PET,baseline,0
sa22083.00,9025-TPU,baseline,0
sa22085.09,9025-TPU,baseline,0
sa22086.00,PET,baseline,0
sa22087.14,PET,baseline,0
sa22088.00,TPU,baseline,0
sa22089.14,TPU,baseline,0
sa22070.05,9006-PET,5x,1
sa22070.06,9006-PET,5x,2
sa22070.07,9006-PET,5x,3
sa22070.08,9006-PET,5x,4
sa22073.05,9006-TPU,5x,1
sa22073.06,9006-TPU,5x,2
sa22073.07,9006-TPU,5x,3
sa22073.08,9006-TPU,5x,4
sa22076.05,9013-PET,5x,1
sa22076.06,9013-PET,5x,2
sa22076.07,9013-PET,5x,3
sa22076.08,9013-PET,5x,4
sa22079.05,9013-TPU,5x,1
sa22079.06,9013-TPU,5x,2
sa22079.07,9013-TPU,5x,3
sa22079.08,9013-TPU,5x,4
sa22082.00,9025-PET,5x,1
sa22082.01,9025-PET,5x,2
sa22082.02,9025-PET,5x,3
sa22082.03,9025-PET,5x,4
sa22085.05,9025-TPU,5x,1
sa22085.06,9025-TPU,5x,2
sa22085.07,9025-TPU,5x,3
sa22085.08,9025-TPU,5x,4
sa22087.10,PET,5x,1
sa22087.11,PET,5x,2
sa22087.12,PET,5x,3
sa22087.13,PET,5x,4
sa22089.10,TPU,5x,1
sa22089.11,TPU,5x,2
sa22089.12,TPU,5x,3
sa22089.13,TPU,5x,4
sa22070.01,9006-PET,1x,1
sa22070.02,9006-PET,1x,2
sa22070.03,9006-PET,1x,3
sa22070.04,9006-PET,1x,4
sa22073.01,9006-TPU,1x,1
sa22073.02,9006-TPU,1x,2
sa22073.03,9006-TPU,1x,3
sa22073.04,9006-TPU,1x,4
sa22076.01,9013-PET,1x,1
