"ID","exposure","retain","substrate","material"
"sa22072.00","ASTMG154",4,"9006","TPU"
"sa22074.06","ASTMG154",1,"9013","PET"
"sa22074.07","ASTMG154",2,"9013","PET"
"sa22074.08","ASTMG154",3,"9013","PET"
"sa22074.09","ASTMG154",4,"9013","PET"
"sa22075.00","ASTMG154",4,"9013","PET"
"sa22077.06","ASTMG154",1,"9013","TPU"
"sa22077.07","ASTMG154",2,"9013","TPU"
"sa22077.08","ASTMG154",3,"9013","TPU"
"sa22077.09","ASTMG154",4,"9013","TPU"
"sa22078.00","ASTMG154",4,"9013","TPU"
"sa22080.06","ASTMG154",1,"9025","PET"
"sa22080.07","ASTMG154",2,"9025","PET"
"sa22080.08","ASTMG154",3,"9025","PET"
"sa22080.09","ASTMG154",4,"9025","PET"
"sa22080.10","ASTMG154",4,"9025","PET"
"sa22083.06","ASTMG154",1,"9025","TPU"
"sa22083.07","ASTMG154",2,"9025","TPU"
"sa22083.08","ASTMG154",3,"9025","TPU"
"sa22083.09","ASTMG154",4,"9025","TPU"
"sa22084.00","ASTMG154",4,"9025","TPU"
"sa22086.06","ASTMG154",1,"PURE","PET"
"sa22086.07","ASTMG154",2,"PURE","PET"
"sa22086.08","ASTMG154",3,"PURE","PET"
"sa22086.09","ASTMG154",4,"PURE","PET"
"sa22086.10","ASTMG154",4,"PURE","PET"
"sa22088.06","ASTMG154",1,"PURE","TPU"
"sa22088.07","ASTMG154",2,"PURE","TPU"
"sa22088.08","ASTMG154",3,"PURE","TPU"
"sa22088.09","ASTMG154",4,"PURE","TPU"
"sa22088.10","ASTMG154",4,"PURE","TPU"
"sa22068.00","baseline",0,"9006","PET"
"sa22070.09","baseline",0,"9006","PET"
"sa22071.00","baseline",0,"9006","TPU"
"sa22073.09","baseline",0,"9006","TPU"
"sa22074.00","baseline",0,"9013","PET"
"sa22076.09","baseline",0,"9013","PET"
"sa22077.00","baseline",0,"9013","TPU"
"sa22079.09","baseline",0,"9013","TPU"
"sa22080.00","baseline",0,"9025","PET"
"sa22082.04","baseline",0,"9025","PET"
"sa22083.00","baseline",0,"9025","TPU"
"sa22085.09","baseline",0,"9025","TPU"
"sa22086.00","baseline",0,"PURE","PET"
"sa22087.14","baseline",0,"PURE","PET"
"sa22088.00","baseline",0,"PURE","TPU"
"sa22089.14","baseline",0,"PURE","TPU"
"sa22070.05","5x",1,"9006","PET"
"sa22070.06","5x",2,"9006","PET"
"sa22070.07","5x",3,"9006","PET"
"sa22070.08","5x",4,"9006","PET"
"sa22073.05","5x",1,"9006","TPU"
"sa22073.06","5x",2,"9006","TPU"
"sa22073.07","5x",3,"9006","TPU"
"sa22073.08","5x",4,"9006","TPU"
"sa22076.05","5x",1,"9013","PET"
"sa22076.06","5x",2,"9013","PET"
"sa22076.07","5x",3,"9013","PET"
"sa22076.08","5x",4,"9013","PET"
"sa22079.05","5x",1,"9013","TPU"
"sa22079.06","5x",2,"9013","TPU"
"sa22079.07","5x",3,"9013","TPU"
"sa22079.08","5x",4,"9013","TPU"
"sa22082.00","5x",1,"9025","PET"
"sa22082.01","5x",2,"9025","PET"
"sa22082.02","5x",3,"9025","PET"
"sa22082.03","5x",4,"9025","PET"
"sa22085.05","5x",1,"9025","TPU"
"sa22085.06","5x",2,"9025","TPU"
"sa22085.07","5x",3,"9025","TPU"
"sa22085.08","5x",4,"9025","TPU"
"sa22087.10","5x",1,"PURE","PET"
"sa22087.11","5x",2,"PURE","PET"
"sa22087.12","5x",3,"PURE","PET"
"sa22087.13","5x",4,"PURE","PET"
"sa22089.10","5x",1,"PURE","TPU"
"sa22089.11","5x",2,"PURE","TPU"
"sa22089.12","5x",3,"PURE","TPU"
"sa22089.13","5x",4,"PURE","TPU"
"sa22070.01","1x",1,"9006","PET"
"sa22070.02","1x",2,"9006","PET"
"sa22070.03","1x",3,"9006","PET"
"sa22070.04","1x",4,"9006","PET"
"sa22073.01","1x",1,"9006","TPU"
"sa22073.02","1x",2,"9006","TPU"
"sa22073.03","1x",3,"9006","TPU"
"sa22073.04","1x",4,"9006","TPU"
"sa22076.01","1x",1,"9013","PET"
"sa22076.02","1x",2,"9013","PET"
"sa22076.03","1x",3,"9013","PET"
"sa22076.04","1x",4,"9013","PET"
"sa22079.01","1x",1,"9013","TPU"
"sa22079.02","1x",2,"9013","TPU"
"sa22079.03","1x",3,"9013","TPU"
"sa22079.04","1x",4,"9013","TPU"
"sa22081.01","1x",1,"9025","PET"
"sa22081.02","1x",2,"9025","PET"
"sa22081.03","1x",3,"9025","PET"
"sa22081.04","1x",4,"9025","PET"
"sa22085.01","1x",1,"9025","TPU"
"sa22085.02","1x",2,"9025","TPU"
"sa22085.03","1x",3,"9025","TPU"
"sa22085.04","1x",4,"9025","TPU"
"sa22087.06","1x",1,"PURE","PET"
"sa22087.07","1x",2,"PURE","PET"
"sa22087.08","1x",3,"PURE","PET"
"sa22087.09","1x",4,"PURE","PET"
"sa22089.06","1x",1,"PURE","TPU"
"sa22089.07","1x",2,"PURE","TPU"
"sa22089.08","1x",3,"PURE","TPU"
"sa22089.09","1x",4,"PURE","TPU"
