Wavenumber,sa22068.03,sa22068.04,sa22068.05,sa22068.08,sa22068.09,sa22069.00,sa22069.03,sa22069.04,sa22069.05,sa22069.08,sa22069.09,sa22070.00,sa22071.03,sa22071.04,sa22071.05,sa22071.08,sa22071.09,sa22072.00,sa22072.08,sa22072.09,sa22073.00,sa22074.03,sa22074.04,sa22074.05,sa22074.08,sa22074.09,sa22075.00,sa22075.03,sa22075.04,sa22075.05,sa22075.08,sa22075.09,sa22076.00,sa22077.03,sa22077.04,sa22077.05,sa22077.08,sa22077.09,sa22078.00,sa22078.08,sa22078.09,sa22079.00,sa22080.03,sa22080.04,sa22080.05,sa22080.08,sa22080.09,sa22080.10,sa22080.13,sa22080.14,sa22080.15,sa22080.18,sa22080.19,sa22081.00,sa22083.03,sa22083.04,sa22083.05,sa22083.08,sa22083.09,sa22084.00,sa22084.08,sa22084.09,sa22085.00,sa22086.03,sa22086.04,sa22086.05,sa22086.08,sa22086.09,sa22086.10,sa22086.13,sa22086.14,sa22087.00,sa22087.03,sa22087.04,sa22087.05,sa22088.03,sa22088.04,sa22088.05,sa22088.08,sa22088.09,sa22088.10,sa22089.03,sa22089.04,sa22089.05
1181.91,0.108067,0.138819,0.212405,0.0363839,0.0353246,0.0579096,0.117697,0.117214,0.0817849,0.0372784,0.0730866,0.0355492,0.291636,0.352959,0.269856,0.280811,0.270441,0.284315,0.270694,0.282858,0.28178,0.139722,0.133142,0.137483,0.0820893,0.0599907,0.0471399,0.102736,0.111005,0.0674415,0.104439,0.0421523,0.0809231,0.419923,0.499418,0.491199,0.257279,0.281766,0.279592,0.282686,0.286619,0.282142,0.0943691,0.114971,0.106411,0.0723413,0.11988,0.128314,0.0998768,0.0890054,0.0906844,0.107623,0.112231,0.0840231,0.293887,0.418854,0.362777,0.289601,0.314271,0.266306,0.24465,0.266867,0.279679,0.0774296,0.062087,0.125326,0.0923243,0.0909289,0.107496,0.0781775,0.0855573,0.0743339,0.117349,0.106314,0.106273,0.301536,0.298311,0.297515,0.280401,0.282202,0.278737,0.233937,0.281826,0.282325
1183.78,0.107169,0.137166,0.210153,0.0375107,0.0356813,0.0603368,0.122418,0.121781,0.085271,0.0387441,0.0757743,0.0370291,0.28891,0.348736,0.266474,0.278433,0.267624,0.281529,0.268205,0.280235,0.279116,0.138086,0.131388,0.135762,0.0855761,0.0609384,0.0480474,0.107152,0.115292,0.0699051,0.108567,0.043009,0.0837529,0.41604,0.493038,0.48526,0.25557,0.278933,0.277134,0.27962,0.283753,0.279476,0.0935666,0.114001,0.105598,0.0751684,0.124149,0.133142,0.103521,0.0922566,0.0941305,0.111559,0.116458,0.0878719,0.290988,0.4147,0.358774,0.286971,0.310648,0.262271,0.242751,0.264298,0.277074,0.0774025,0.062099,0.12554,0.0961349,0.0941134,0.112172,0.0809049,0.0885151,0.0771301,0.121903,0.110014,0.1099,0.298569,0.294846,0.29446,0.277807,0.279425,0.27606,0.232044,0.279407,0.279888
1185.64,0.106109,0.135429,0.207818,0.0388145,0.0360857,0.0626228,0.127655,0.127071,0.0891381,0.0404296,0.0787291,0.0386721,0.288076,0.345536,0.264319,0.277791,0.267091,0.280862,0.267802,0.279528,0.278351,0.136683,0.129805,0.133933,0.0890895,0.0619969,0.0484989,0.11215,0.120382,0.0728452,0.113289,0.0437295,0.0870697,0.413187,0.487269,0.479495,0.25556,0.278136,0.276333,0.278925,0.282922,0.279087,0.0927667,0.113163,0.104943,0.0782814,0.128427,0.138444,0.10802,0.0963477,0.0981072,0.116241,0.121549,0.0921775,0.290081,0.410873,0.355555,0.286502,0.308126,0.259581,0.2426,0.263916,0.276452,0.0776271,0.0621474,0.125682,0.100443,0.0973046,0.117067,0.0838803,0.0920249,0.08045,0.126475,0.114631,0.114437,0.297381,0.293395,0.293167,0.277343,0.278631,0.275464,0.231702,0.278871,0.279596
1187.51,0.105098,0.134199,0.20559,0.0404196,0.0365063,0.0652467,0.133504,0.133082,0.0932345,0.0421881,0.0820989,0.0401491,0.289387,0.344251,0.263688,0.279015,0.269022,0.282687,0.26947,0.280856,0.27963,0.135502,0.128306,0.132593,0.0930039,0.0631658,0.0490601,0.117498,0.125887,0.0759109,0.118301,0.0443101,0.0908379,0.411185,0.481791,0.474601,0.257533,0.279835,0.277914,0.280674,0.284622,0.280788,0.0922213,0.112532,0.104386,0.0820142,0.133137,0.143903,0.112968,0.100891,0.102473,0.12159,0.127414,0.0965447,0.290503,0.40776,0.352875,0.288047,0.30742,0.258456,0.243783,0.265493,0.277921,0.07816,0.062312,0.125953,0.104933,0.100421,0.122601,0.0874012,0.0959691,0.0839971,0.131137,0.120007,0.119668,0.298194,0.29438,0.294007,0.27908,0.280386,0.277375,0.232787,0.280408,0.280859
1189.37,0.104323,0.133274,0.203379,0.0419019,0.0370213,0.0682875,0.140024,0.139774,0.0977409,0.0439412,0.0857296,0.0415829,0.292343,0.343585,0.264121,0.281739,0.272336,0.286316,0.272216,0.28394,0.282865,0.13433,0.127071,0.131646,0.0973201,0.0642428,0.0499483,0.123248,0.131862,0.079201,0.123839,0.0451028,0.0948535,0.409749,0.476664,0.470119,0.261322,0.283146,0.281656,0.283905,0.287996,0.283902,0.0916746,0.111759,0.103759,0.0858606,0.137758,0.149525,0.118081,0.105545,0.107209,0.127396,0.133675,0.100975,0.292065,0.404898,0.350874,0.291408,0.307937,0.257984,0.246367,0.268394,0.281,0.0785238,0.0627112,0.12646,0.109812,0.103242,0.128761,0.091543,0.100147,0.0874752,0.135851,0.125503,0.125285,0.300549,0.296646,0.296112,0.281889,0.284055,0.280988,0.235055,0.283648,0.283921
1191.24,0.10343,0.132032,0.201155,0.043047,0.037697,0.071238,0.147102,0.14665,0.102413,0.0455945,0.0894404,0.0433238,0.295587,0.342933,0.265136,0.285273,0.276043,0.29041,0.275942,0.288005,0.287058,0.132967,0.12587,0.130438,0.101483,0.0653046,0.0510327,0.129617,0.138201,0.0826054,0.129378,0.0457702,0.0990233,0.4084,0.471211,0.465368,0.265417,0.287313,0.286148,0.287732,0.291932,0.287752,0.090919,0.110871,0.10303,0.0897156,0.141987,0.155402,0.123589,0.110427,0.112526,0.133541,0.140262,0.105711,0.294639,0.401975,0.349047,0.295953,0.308818,0.257776,0.249871,0.271883,0.285006,0.0784795,0.0627879,0.126877,0.115152,0.106133,0.135123,0.0957044,0.104664,0.0912727,0.140856,0.131368,0.131287,0.303732,0.299523,0.298861,0.2854,0.288362,0.285018,0.238283,0.2877,0.288212
1193.1,0.102199,0.130503,0.198942,0.0443218,0.0384401,0.074123,0.154477,0.15363,0.10723,0.0471308,0.0931238,0.0450584,0.298673,0.342057,0.266013,0.288706,0.279852,0.294328,0.279878,0.291864,0.290998,0.13133,0.124576,0.129018,0.10566,0.0667154,0.0522333,0.136204,0.144888,0.0861481,0.135108,0.0462308,0.103309,0.406676,0.46577,0.460323,0.269227,0.29159,0.290491,0.291598,0.295711,0.291568,0.0900523,0.109838,0.102074,0.0938227,0.146466,0.161317,0.129658,0.115566,0.118021,0.140016,0.147055,0.11046,0.297338,0.399174,0.347024,0.300133,0.309818,0.257976,0.253309,0.275311,0.288789,0.0782379,0.0625558,0.126857,0.120698,0.109383,0.141572,0.0999322,0.109358,0.0956076,0.146064,0.137751,0.137735,0.306604,0.302479,0.301666,0.288865,0.292457,0.288748,0.241544,0.291578,0.292145
1194.96,0.101166,0.129371,0.196805,0.0455476,0.0389701,0.077104,0.162008,0.160714,0.112055,0.048817,0.0969328,0.0464581,0.301813,0.341546,0.266711,0.291552,0.283032,0.297516,0.283129,0.294785,0.294106,0.12995,0.123119,0.127655,0.109856,0.0680319,0.0535267,0.142548,0.151721,0.0896176,0.141299,0.0467501,0.107649,0.404962,0.460636,0.455112,0.272684,0.294814,0.294357,0.294676,0.298823,0.294636,0.0892433,0.108905,0.101202,0.0977609,0.150866,0.166986,0.135652,0.120685,0.123202,0.146492,0.153841,0.115129,0.299467,0.396425,0.344959,0.303352,0.310674,0.25784,0.25622,0.278415,0.291758,0.0781949,0.0627283,0.126913,0.126258,0.112227,0.148082,0.104456,0.113832,0.0998513,0.15077,0.143978,0.143965,0.308957,0.304824,0.304298,0.291762,0.296099,0.29214,0.24399,0.29492,0.295134
1196.83,0.100323,0.128314,0.195182,0.0464102,0.0393443,0.0799385,0.169569,0.167822,0.116591,0.0503941,0.100525,0.0478678,0.304322,0.34103,0.267344,0.293796,0.285537,0.300113,0.285339,0.297266,0.296258,0.1289,0.121682,0.126399,0.113776,0.0692678,0.0546801,0.148751,0.158563,0.0931597,0.147353,0.0473121,0.111825,0.40325,0.455229,0.449921,0.275838,0.297068,0.297212,0.296831,0.301274,0.297223,0.0884383,0.108317,0.100442,0.101439,0.154704,0.172163,0.14154,0.125729,0.128432,0.153038,0.160568,0.11988,0.301133,0.393583,0.3426,0.306109,0.311097,0.257284,0.258316,0.280667,0.294386,0.0784738,0.0630231,0.127218,0.131766,0.114668,0.154528,0.108655,0.118473,0.103678,0.155536,0.150186,0.150129,0.311006,0.306739,0.306581,0.294244,0.298671,0.294942,0.246143,0.297781,0.297953
1198.69,0.0993725,0.127097,0.193465,0.0472729,0.0398875,0.0822179,0.176736,0.17455,0.120779,0.0517697,0.1038,0.0491261,0.306144,0.339953,0.267811,0.295477,0.287873,0.302625,0.287466,0.299479,0.298507,0.127604,0.120271,0.125166,0.117445,0.0705873,0.0555644,0.154851,0.164807,0.0965204,0.152673,0.047835,0.11577,0.401488,0.450036,0.445086,0.278572,0.299337,0.299419,0.299079,0.303334,0.299666,0.0876717,0.107674,0.0997568,0.104997,0.157842,0.176807,0.147236,0.130484,0.13334,0.159462,0.167124,0.124385,0.302874,0.390811,0.340488,0.308812,0.311353,0.257052,0.260196,0.282454,0.296655,0.0787297,0.0631207,0.127478,0.136952,0.116939,0.160431,0.112584,0.123083,0.107213,0.16001,0.156514,0.156361,0.312723,0.308555,0.308519,0.296317,0.300526,0.29706,0.247921,0.30014,0.300356
