Wavenumber,sa22082.02,sa22082.03,sa22089.13,sa22089.12,sa22087.13,sa22087.12,sa22085.08,sa22085.07,sa22079.08,sa22079.07,sa22076.08,sa22076.07,sa22073.08,sa22073.07,sa22070.08,sa22070.07,sa22089.09,sa22089.08,sa22087.09,sa22087.08,sa22085.04,sa22085.03,sa22081.03,sa22081.04,sa22079.04,sa22079.03,sa22076.04,sa22076.03,sa22073.04,sa22073.03,sa22070.04,sa22070.03
685.651,0.228274,0.252739,0.104681,0.10591,0.228175,0.216115,0.104955,0.0864035,0.173669,0.16523,0.258357,0.231284,0.0931914,0.10103,0.189433,0.289212,0.105322,0.0988048,0.231223,0.273677,0.100104,0.121403,0.237401,0.223274,0.115436,0.17392,0.233507,0.245888,0.108043,0.103109,0.195768,0.244948
689.377,0.234922,0.26207,0.101752,0.102749,0.239676,0.230482,0.103493,0.083488,0.172795,0.163924,0.26784,0.238142,0.0909295,0.0983637,0.19488,0.306798,0.102527,0.0961305,0.244225,0.290201,0.0985716,0.120365,0.246993,0.231653,0.113492,0.17305,0.246011,0.259005,0.10607,0.100405,0.20029,0.256551
693.103,0.247782,0.278165,0.0997528,0.100661,0.262685,0.2558,0.102001,0.0815841,0.171537,0.162328,0.285264,0.250743,0.0890721,0.0961832,0.203812,0.341153,0.10067,0.0940634,0.270904,0.325262,0.0972335,0.119124,0.264575,0.246451,0.11164,0.171725,0.26962,0.283082,0.104486,0.0984614,0.207215,0.277523
696.83,0.26533,0.299104,0.098678,0.0998283,0.294034,0.289004,0.100985,0.0805364,0.170005,0.160531,0.30931,0.267771,0.0883158,0.0949837,0.21513,0.389394,0.0995395,0.0930661,0.306971,0.374677,0.0962809,0.11798,0.286935,0.265278,0.110056,0.170153,0.300411,0.314505,0.103927,0.0973304,0.215792,0.303714
700.556,0.28253,0.320846,0.0982246,0.0990161,0.328097,0.325105,0.1007,0.080637,0.168074,0.158657,0.335415,0.284724,0.088321,0.0948722,0.226123,0.444739,0.0986546,0.0924562,0.345412,0.429952,0.0957808,0.116917,0.309706,0.283723,0.108967,0.167958,0.331958,0.347626,0.103682,0.0967465,0.223573,0.331006
704.283,0.295429,0.338242,0.0973515,0.097728,0.357726,0.358118,0.100216,0.0807459,0.165643,0.156648,0.356951,0.297727,0.0882342,0.0944545,0.234538,0.49527,0.0975604,0.0915157,0.378465,0.478637,0.0949433,0.115247,0.327816,0.297982,0.107757,0.165494,0.358524,0.375506,0.102975,0.0962296,0.228377,0.353501
708.009,0.304351,0.350188,0.0955502,0.095978,0.381243,0.386398,0.0988551,0.0801827,0.162812,0.154166,0.372878,0.306634,0.0875305,0.0928501,0.240415,0.537211,0.095729,0.0898167,0.405238,0.517791,0.0932457,0.113059,0.340981,0.309113,0.106003,0.162884,0.380547,0.39718,0.101659,0.0946588,0.230636,0.37062
711.735,0.310779,0.360227,0.093627,0.0941737,0.401574,0.413048,0.0973348,0.0795673,0.161075,0.152281,0.38546,0.312949,0.0863376,0.0911297,0.24439,0.572837,0.0934458,0.0879995,0.428526,0.55086,0.0913489,0.111136,0.352085,0.318775,0.104486,0.161213,0.400804,0.415561,0.100233,0.0925917,0.232068,0.384565
715.462,0.315807,0.368532,0.0914381,0.0921642,0.422897,0.446181,0.0958058,0.0780551,0.160899,0.151574,0.396182,0.317812,0.084882,0.0893895,0.247003,0.611282,0.0910975,0.0860821,0.454854,0.588378,0.089745,0.109347,0.362778,0.327809,0.103538,0.161146,0.424075,0.435373,0.0986453,0.0906036,0.232443,0.399024
719.188,0.313025,0.366613,0.0906577,0.0917831,0.442093,0.483226,0.0957674,0.0776897,0.163061,0.153433,0.398341,0.315193,0.0848517,0.0889851,0.244017,0.649998,0.090698,0.085537,0.482717,0.627489,0.0895066,0.109418,0.365596,0.330152,0.105084,0.163418,0.446678,0.451845,0.0986289,0.0903029,0.227424,0.407816
722.914,0.287935,0.336587,0.0935073,0.0947049,0.437244,0.485862,0.0984817,0.0809811,0.166863,0.157258,0.370818,0.290396,0.0879211,0.0920682,0.225358,0.640351,0.0939296,0.0887134,0.479491,0.621165,0.0914617,0.11145,0.339637,0.307764,0.10982,0.167528,0.440879,0.434878,0.101748,0.0933813,0.208798,0.385142
726.641,0.240951,0.279001,0.100588,0.101497,0.384588,0.418818,0.103409,0.0883859,0.170865,0.161734,0.309612,0.243567,0.0941879,0.0989061,0.191125,0.540499,0.100718,0.096346,0.414499,0.526961,0.0959335,0.114895,0.28115,0.257278,0.116097,0.17176,0.38248,0.367959,0.107719,0.100408,0.178044,0.322632
730.367,0.187158,0.213024,0.107935,0.108757,0.295025,0.308277,0.108292,0.0957766,0.174484,0.165631,0.235886,0.189915,0.100789,0.105808,0.151368,0.393144,0.107884,0.10412,0.310679,0.384878,0.100499,0.118435,0.211869,0.196704,0.121018,0.175666,0.290083,0.276036,0.113451,0.107769,0.144524,0.243884
734.093,0.143444,0.158775,0.110377,0.111227,0.204661,0.201741,0.110937,0.0979473,0.178804,0.1688,0.173719,0.145786,0.104376,0.108613,0.118393,0.261222,0.110735,0.106507,0.208791,0.254196,0.102906,0.120653,0.152719,0.144619,0.123247,0.179872,0.1988,0.190818,0.116664,0.110761,0.117852,0.173244
737.82,0.120204,0.128985,0.107832,0.108321,0.141425,0.127184,0.111577,0.0949411,0.183441,0.171949,0.13793,0.122114,0.104526,0.106775,0.101091,0.174411,0.108268,0.103421,0.136517,0.165334,0.103756,0.122427,0.117043,0.112956,0.12376,0.184364,0.134867,0.133441,0.117589,0.109112,0.105182,0.127226
741.546,0.118984,0.125317,0.10357,0.103918,0.115424,0.0930659,0.112197,0.0902777,0.18816,0.175624,0.130782,0.120886,0.103673,0.103071,0.101259,0.139194,0.104073,0.0988106,0.106188,0.128022,0.104422,0.124875,0.109703,0.106747,0.124546,0.189603,0.109204,0.11242,0.117777,0.105648,0.108222,0.112972
745.273,0.128607,0.135328,0.0991432,0.0998759,0.114962,0.0880819,0.112753,0.0859877,0.192548,0.179371,0.139209,0.130822,0.102412,0.0993653,0.109784,0.137693,0.100074,0.0944104,0.105943,0.125966,0.104953,0.127276,0.118725,0.115321,0.125815,0.194263,0.1102,0.115858,0.117796,0.102072,0.118041,0.119296
748.999,0.137755,0.145976,0.0956577,0.096616,0.121906,0.0939066,0.112666,0.0823689,0.196593,0.182838,0.1494,0.140192,0.100626,0.0962273,0.117411,0.146211,0.0969524,0.0909484,0.113891,0.134384,0.104724,0.128703,0.129246,0.125086,0.127043,0.198138,0.118553,0.125672,0.117211,0.0988866,0.125774,0.12943
752.725,0.143747,0.152945,0.0919366,0.0929982,0.128298,0.100689,0.111725,0.0782628,0.199814,0.18612,0.156922,0.146417,0.0978802,0.0926544,0.122008,0.154427,0.0934187,0.0869091,0.120019,0.141549,0.103513,0.128637,0.136282,0.131531,0.12766,0.201721,0.125468,0.133114,0.114969,0.0952831,0.129978,0.136469
756.452,0.148376,0.158452,0.0874996,0.0884924,0.133537,0.107067,0.111133,0.0732022,0.204674,0.192111,0.162975,0.151801,0.0950451,0.0887102,0.125315,0.161429,0.088708,0.0820994,0.125154,0.147627,0.102544,0.129426,0.14187,0.136645,0.130256,0.207588,0.131127,0.138808,0.112811,0.0910186,0.133112,0.142074
760.178,0.153536,0.164658,0.0853522,0.0863656,0.137292,0.112089,0.114598,0.0703525,0.215032,0.205304,0.169192,0.157991,0.0959886,0.0869632,0.128662,0.167002,0.0862492,0.0796053,0.130326,0.153458,0.105351,0.134693,0.147831,0.142178,0.140662,0.219412,0.136388,0.144978,0.114885,0.0888936,0.137162,0.147881
763.904,0.159748,0.172062,0.0908743,0.0919952,0.14288,0.118302,0.124899,0.0756598,0.226282,0.222119,0.177303,0.165265,0.103792,0.0926496,0.133376,0.174728,0.0918602,0.0851276,0.138176,0.162389,0.114929,0.145529,0.155388,0.149174,0.159062,0.231721,0.143489,0.153586,0.123927,0.0946836,0.142177,0.155444
767.631,0.164772,0.178055,0.10773,0.108799,0.150109,0.125792,0.141552,0.0925619,0.225876,0.227798,0.183175,0.169375,0.118884,0.109066,0.136679,0.18419,0.108729,0.102246,0.147005,0.173022,0.131491,0.160256,0.162051,0.155361,0.17517,0.23166,0.151323,0.161555,0.138339,0.111499,0.144785,0.162242
771.357,0.168011,0.181782,0.134762,0.13552,0.154265,0.130083,0.161845,0.11939,0.216474,0.222428,0.184425,0.169086,0.138291,0.134731,0.137147,0.189489,0.135602,0.129423,0.151019,0.178195,0.152377,0.176171,0.165983,0.1588,0.183201,0.222135,0.155371,0.164648,0.154586,0.137612,0.144463,0.164973
775.083,0.169667,0.183843,0.163375,0.164391,0.155722,0.131793,0.176606,0.147724,0.204717,0.211265,0.183839,0.166877,0.153604,0.161503,0.135886,0.191214,0.164523,0.158406,0.152263,0.179663,0.168106,0.185929,0.168144,0.160192,0.179638,0.208976,0.156697,0.16487,0.165087,0.164234,0.142564,0.164935
778.81,0.169727,0.184355,0.175549,0.177357,0.157403,0.133974,0.175782,0.159463,0.190218,0.193461,0.182728,0.163988,0.153529,0.171044,0.133928,0.193696,0.177075,0.171184,0.154499,0.182387,0.167938,0.182719,0.169519,0.160947,0.16171,0.193086,0.15866,0.165397,0.160954,0.173624,0.140059,0.164771
782.536,0.167508,0.182164,0.152434,0.15461,0.159952,0.137324,0.155154,0.136832,0.17469,0.172022,0.180631,0.160476,0.131308,0.147594,0.131848,0.197911,0.153957,0.148441,0.158102,0.186945,0.147526,0.164657,0.168794,0.160301,0.135582,0.176367,0.161577,0.166939,0.139118,0.150062,0.137233,0.165669
786.263,0.163793,0.178256,0.110252,0.11208,0.164457,0.143301,0.125968,0.0955585,0.162589,0.154323,0.178815,0.157686,0.100356,0.107611,0.130025,0.204575,0.111513,0.105502,0.164474,0.194629,0.118732,0.139817,0.166748,0.158795,0.111941,0.16285,0.166334,0.170366,0.111766,0.10967,0.134745,0.167956
789.989,0.15866,0.173187,0.0807752,0.0821634,0.168424,0.148879,0.103717,0.0666452,0.154812,0.143967,0.176527,0.154883,0.0793799,0.0796329,0.127803,0.210411,0.0817585,0.0749894,0.170424,0.202083,0.0969887,0.119918,0.163513,0.155928,0.0972617,0.154655,0.170684,0.173025,0.0934291,0.0811029,0.131916,0.168695
793.715,0.152295,0.166162,0.0700968,0.071389,0.16584,0.146215,0.0920007,0.0560691,0.150026,0.138464,0.171558,0.150525,0.070872,0.0691043,0.124605,0.207422,0.071098,0.0636252,0.168022,0.199742,0.0853398,0.108783,0.157375,0.150429,0.0911902,0.150135,0.168311,0.169217,0.0862429,0.0702791,0.128578,0.164402
797.442,0.147331,0.159867,0.0685972,0.0697476,0.158518,0.136417,0.0866766,0.0543012,0.146939,0.13488,0.16613,0.146566,0.069712,0.0671843,0.121918,0.197654,0.069762,0.0616032,0.160399,0.189778,0.0801759,0.103049,0.151303,0.145224,0.0915164,0.147147,0.161166,0.162121,0.0858377,0.0686218,0.126349,0.158696
801.168,0.145895,0.157894,0.0687408,0.0697677,0.155771,0.130594,0.0855657,0.0541776,0.146566,0.134143,0.164663,0.14604,0.0758848,0.0675892,0.121938,0.19365,0.0698628,0.0617733,0.157823,0.185849,0.0810678,0.101578,0.149798,0.143818,0.104411,0.146559,0.158393,0.160142,0.0925412,0.0696608,0.126603,0.157444
804.894,0.145771,0.158051,0.0673351,0.068488,0.155812,0.128897,0.0890661,0.0531926,0.148906,0.136465,0.165193,0.146952,0.0902599,0.0680881,0.123167,0.193689,0.068331,0.0609801,0.157701,0.185952,0.0897614,0.104775,0.150194,0.14375,0.134033,0.148342,0.157789,0.160757,0.108087,0.0709373,0.128019,0.158454
808.621,0.146194,0.158876,0.0654869,0.06678,0.155896,0.128886,0.093315,0.0517892,0.151857,0.138872,0.166344,0.148381,0.101775,0.0680518,0.124452,0.194153,0.0662434,0.0594073,0.157949,0.186378,0.0991454,0.10813,0.151132,0.143985,0.156273,0.150647,0.157373,0.161619,0.119905,0.0712348,0.129336,0.159899
812.347,0.146881,0.15985,0.0646767,0.0659424,0.156262,0.129417,0.0909059,0.0507186,0.153285,0.138261,0.167405,0.149236,0.0954436,0.0668138,0.125018,0.194523,0.0649331,0.0581973,0.158622,0.187083,0.0949699,0.104964,0.151962,0.144434,0.142385,0.151494,0.157367,0.162381,0.112287,0.0693533,0.129496,0.160578
816.073,0.148006,0.161261,0.0646291,0.0658556,0.157429,0.130687,0.0843923,0.0503421,0.153714,0.136877,0.168703,0.149908,0.0800273,0.0654875,0.125452,0.195643,0.0648768,0.0583362,0.15973,0.188285,0.0821569,0.0982891,0.152875,0.145067,0.112189,0.152111,0.158326,0.163316,0.0957884,0.0670685,0.12947,0.161437
819.8,0.149275,0.162916,0.0649967,0.0663154,0.158966,0.132839,0.080756,0.0507017,0.154583,0.137632,0.170199,0.151129,0.0715863,0.0651663,0.126194,0.197771,0.0656317,0.0590017,0.161367,0.19041,0.0747853,0.0948886,0.154043,0.145998,0.0952211,0.153588,0.159959,0.165006,0.0871337,0.0666055,0.129938,0.163018
823.526,0.151,0.165296,0.0659194,0.0669487,0.16172,0.136328,0.0810606,0.0517322,0.156389,0.139733,0.172717,0.153344,0.0711599,0.0659305,0.127644,0.20178,0.0664792,0.0599267,0.164479,0.194811,0.0743836,0.095561,0.156294,0.148155,0.0927213,0.15571,0.163021,0.168325,0.0870348,0.06771,0.131108,0.165744
827.253,0.153119,0.168034,0.0672662,0.0679712,0.165536,0.141074,0.0829794,0.0529444,0.158082,0.141725,0.175588,0.15573,0.0731711,0.0675699,0.129338,0.207298,0.067672,0.0612693,0.169121,0.200589,0.0760443,0.0973345,0.159298,0.150745,0.0949787,0.157622,0.16723,0.172334,0.089081,0.0692237,0.132301,0.169149
830.979,0.155977,0.171264,0.0693734,0.0698688,0.170677,0.14738,0.0853494,0.0550902,0.159625,0.143897,0.179342,0.158187,0.075624,0.069805,0.131128,0.214542,0.0697902,0.0634963,0.175228,0.20786,0.0780016,0.0993345,0.162781,0.153624,0.0979762,0.159382,0.172101,0.177228,0.0911697,0.0714085,0.133731,0.173226
