ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22079.08,96.13,-0.03,0.77,1.42,7.7
sa22079.07,96.08,-0.05,0.65,1.18,6.4
sa22079.06,96.18,-0.02,0.66,1.22,6.3
sa22079.05,95.73,-0.03,0.73,1.35,9.7
sa22076.08,95.21,-0.16,1.28,2.3,9.4
sa22076.07,95.35,-0.16,1.16,2.08,5.9
sa22076.06,95.51,-0.18,1.12,1.98,4.6
sa22076.05,95.57,-0.17,1.12,1.99,4.3
sa22073.08,96.14,-0.02,0.71,1.32,7.3
sa22073.07,96.22,-0.04,0.65,1.18,6.8
sa22073.06,96.1,-0.04,0.7,1.28,7.4
sa22073.05,96.04,-0.01,0.71,1.32,7.9
sa22070.08,95.28,-0.16,1.19,2.14,7.2
sa22070.07,95.48,-0.19,1.09,1.91,8
sa22070.06,95.35,-0.18,1.15,2.04,6.7
sa22070.05,95.4,-0.17,1.18,2.11,6.4
sa22089.13,96.04,-0.02,0.75,1.39,7.4
sa22089.12,95.58,0.01,0.93,1.77,9.8
sa22089.11,96.16,-0.06,0.75,1.37,7.1
sa22089.10,95.94,-0.02,0.79,1.46,9
sa22087.13,94.82,-0.16,1.22,2.2,5.9
sa22087.12,94.94,-0.17,1.21,2.17,4.2
sa22087.11,94.86,-0.16,1.2,2.16,4.2
sa22087.10,95,-0.17,1.21,2.16,3.5
sa22085.08,96.2,-0.02,0.64,1.19,7.7
sa22085.07,95.8,0,0.7,1.32,10.1
sa22085.06,96.25,-0.02,0.61,1.13,6.4
sa22085.05,96.07,-0.01,0.68,1.26,8.2
sa22082.03,95.13,-0.15,1.26,2.29,9.4
sa22082.02,94.94,-0.13,1.34,2.44,11.7
sa22082.01,95.35,-0.15,1.18,2.12,6.9
sa22082.00,95.33,-0.17,1.2,2.14,9.6
