ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22089.05,96.55,-0.02,0.39,0.71,6.8
sa22089.04,96.72,-0.04,0.36,0.63,3
sa22089.03,96.64,-0.03,0.36,0.64,4.5
sa22089.02,96.57,-0.02,0.38,0.68,5.6
sa22089.01,96.71,-0.03,0.33,0.59,3.1
sa22087.05,95.14,-0.28,1.23,2.12,4.5
sa22087.04,95.12,-0.26,1.25,2.18,5.7
sa22087.03,95.07,-0.25,1.21,2.11,3.9
sa22087.02,95.13,-0.26,1.2,2.08,2.5
sa22087.01,95.09,-0.27,1.27,2.21,7.2
sa22085.00,96.6,-0.04,0.45,0.79,4.5
sa22084.09,96.59,-0.04,0.4,0.71,4.9
sa22084.08,96.33,-0.06,0.57,1.02,17.5
sa22084.07,96.39,-0.04,0.58,1.06,13.9
sa22084.06,95.81,-0.03,0.57,1.04,15.6
sa22081.000,95.67,-0.28,1.18,2.02,5.5
sa22080.19,95.98,-0.28,1.13,1.92,4.3
sa22080.18,95.84,-0.17,1.14,2.02,5.1
sa22080.17,93.87,-0.18,1.65,3.04,51.7
sa22080.16,94.84,-0.14,1.55,2.85,32.8
sa22079.00,96.5,-0.07,0.42,0.72,3.9
sa22078.09,96.64,-0.05,0.37,0.64,2.8
sa22078.08,96.38,-0.04,0.43,0.76,7.6
sa22078.07,96.59,-0.06,0.41,0.72,3.6
sa22078.06,96.5,-0.05,0.39,0.68,4.6
s22076.000,95.5,0.73,0.62,1.74,3.3
sa22075.09,95.45,-0.09,1.16,2.13,8.5
sa22075.08,95.14,0.09,1.06,2.08,2.3
sa22075.07,95.63,-0.37,1.06,1.71,2
sa22075.06,95.88,-0.44,1.54,2.57,1.8
sa22073.00,96.19,-0.05,0.5,0.9,19.2
sa22072.09,96.26,-0.03,0.5,0.91,18.5
sa22072.08,95.76,-0.07,0.58,1.04,14.9
sa22072.07,95.75,-0.03,0.54,0.99,15.6
sa22072.06,95.64,-0.03,0.46,0.84,14.6
sa22070.00,94.21,-0.44,1.66,2.84,37.2
sa22069.09,95.6,-0.52,0.98,1.46,5.6
sa22069.08,93.7,-0.39,1.5,2.58,23.7
sa22069.07,93.18,-0.41,1.47,2.53,23.3
sa22069.06,94.94,-0.22,1.45,2.6,36.3
