ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22072.05,96.68,-0.22,0.83,1.38,2.1
sa22072.04,96.67,-0.21,0.81,1.36,2.6
sa22072.03,96.71,-0.21,0.74,1.23,1.9
sa22072.02,96.72,-0.19,0.78,1.32,1.2
sa22072.01,96.64,-0.21,0.81,1.35,2.3
sa22069.05,95.74,-0.22,1.02,1.77,3.3
sa22069.04,95.74,-0.23,1.04,1.78,4.3
sa22069.03,95.71,-0.21,1.03,1.79,3.3
sa22069.02,95.67,-0.2,1.06,1.85,4.9
sa22069.01,95.7,-0.2,1.03,1.78,4.4
sa22066.55,96.72,-0.18,0.8,1.35,1.7
sa22066.54,96.71,-0.18,0.78,1.31,1.9
sa22066.53,96.66,-0.2,0.87,1.48,2.4
sa22066.52,96.71,-0.21,0.77,1.28,1.8
sa22066.51,96.68,-0.22,0.85,1.43,2.1
sa2222075.01,95.68,-0.08,1.1,2.02,5.5
sa22075.02,95.73,-0.2,1.03,1.8,2
sa22075.03,95.74,-0.22,1.04,1.8,2.3
sa22075.04,95.68,-0.22,1.03,1.78,2.3
ssa22075.05,95.71,-0.22,1.03,1.79,3.5
sa22078.01,96.64,-0.22,0.84,1.4,2.6
sa22078.02,96.7,-0.21,0.82,1.37,3
sa22078.03,96.7,-0.22,0.81,1.35,1.9
sa22078.04,96.69,-0.31,0.89,1.42,1.9
sa22078.05,96.73,-0.22,0.84,1.41,1.4
ssa22080.11,95.78,-0.22,1.02,1.75,2.9
sa22080.12,95.71,-0.21,1.02,1.77,2.4
sa22080.13,95.74,-0.22,1.02,1.77,2.8
sa22080.14,95.75,-0.22,1.02,1.77,2.6
sa22080.15,95.78,-0.21,1.02,1.77,2.7
sa22084.01,96.71,-0.21,0.82,1.37,2.5
sa22084.02,96.73,-0.19,0.77,1.3,2
sa22084.03,96.68,-0.19,0.79,1.34,2.6
sa22084.04,96.74,-0.18,0.75,1.26,2.2
sa22084.05,96.76,-0.19,0.76,1.27,2.5
sa22086.11,95.05,-0.19,1.09,1.92,2.5
sa22086.12,95.12,-0.2,1.09,1.91,2.4
sa22086.13,95.11,-0.21,1.1,1.93,2.2
as22086.14,95.07,-0.2,1.08,1.9,2.3
a22087.00,95.09,-0.2,1.11,1.96,3.3
sa22088.11,96.72,-0.23,0.9,1.52,1.8
sa22088.12,96.68,-0.25,0.95,1.59,3.1
sa22088.13,96.7,-0.23,0.9,1.51,2.7
sa22088.14,96.66,-0.21,0.89,1.5,2.8
sa22089.00,96.64,-0.22,0.86,1.44,3
