ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22069.07,92.67,-0.36,1.77,3.16,60.2
sa22069.08,92.53,-0.33,1.8,3.25,65.8
sa22069.09,91.47,-0.4,1.86,3.34,81
sa22070.00,90.48,-0.34,2.16,4,86.9
sa22072.07,96.21,0.01,0.51,0.96,16.1
sa22072.08,96.02,-0.01,0.53,0.98,14.4
sa22072.09,96.16,-0.02,0.52,0.96,18.3
sa22073.00,96.21,0,0.49,0.92,32.1
sa22075.07,90.37,-0.41,1.77,3.19,68.7
sa22075.08,91.1,-0.46,1.73,3.05,57.2
sa22075.09,95.26,-0.68,1.54,2.4,10.3
sa22076.00,93.9,-0.28,1.55,2.76,36
sa22078.07,96.45,-0.02,0.45,0.82,9.1
sa22078.08,96.28,-0.01,0.47,0.86,14.4
sa22078.09,96.52,-0.01,0.42,0.77,5
sa22079.00,96.03,-0.02,0.5,0.92,16.5
sa22080.17,91.66,-0.36,2.04,3.72,52
sa22080.18,90.73,-0.46,1.9,3.38,55.8
sa22080.19,91.23,-0.4,1.73,3.08,62
sa22081.00,90.85,-0.42,1.74,3.09,57.6
sa22084.07,96.36,-0.02,0.52,0.95,10.3
sa22084.08,96.42,-0.01,0.51,0.94,9.8
sa22084.09,96.5,-0.01,0.41,0.76,10.5
sa22085.00,96.44,-0.03,0.48,0.88,8.2
sa22087.02,93.36,-0.35,1.8,3.19,45.3
sa22087.03,94.66,-0.34,1.6,2.8,14.9
sa22087.04,93.58,-0.36,1.76,3.11,41.6
sa22087.05,93.48,-0.35,1.84,3.28,32.9
sa22089.02,96.52,0,0.39,0.72,8.6
sa22089.03,96.44,0.01,0.39,0.73,8.5
sa22089.04,96.28,0.01,0.42,0.8,10.7
sa22089.05,96.46,0,0.41,0.75,6.8
