"ID","step","hours","exposure","retain","substrate","material","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","ftir.1250.wavenum","ftir.1700.wavenum","ftir.2900.wavenum","ftir.3350.wavenum","dose","doseType"
"sa22085.03",1,2208,"1x",3,"9025","TPU",95.9,0,0.84,1.59,11.1,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22073.02",1,2208,"1x",2,"9006","TPU",95.96,-0.05,0.69,1.26,7,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22079.01",1,2208,"1x",1,"9013","TPU",96.32,-0.04,0.64,1.17,4.3,0.189099,0.243038,0.0389398,0.0260631,1249.03,1718.81,2932.42,3387.28,101.54592,"fullSpectrum"
"sa22085.04",1,2208,"1x",4,"9025","TPU",95.87,-0.06,0.77,1.4,10,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22076.01",1,2208,"1x",1,"9013","PET",95.46,-0.43,1.12,1.78,4.4,0.123519,0.10433,0.0205386,0.0152111,1213.61,1709.49,2934.28,3374.23,101.54592,"fullSpectrum"
"sa22085.02",1,2208,"1x",2,"9025","TPU",96.14,-0.06,0.67,1.21,8.1,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22085.01",1,2208,"1x",1,"9025","TPU",95.64,-0.22,0.56,0.89,9.4,0.278895,0.444849,0.0924762,0.0603141,1237.84,1718.81,2930.55,3387.28,101.54592,"fullSpectrum"
"sa22089.07",1,2208,"1x",2,"PURE","TPU",96.08,-0.02,0.75,1.39,7,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22081.04",1,2208,"1x",4,"9025","PET",95.62,-0.19,1.08,1.89,6.3,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22089.06",1,2208,"1x",1,"PURE","TPU",95.9,-0.04,0.78,1.43,9.1,0.399673,0.408635,0.17657,0.0601131,1226.66,1687.12,2924.96,3327.63,101.54592,"fullSpectrum"
"sa22089.08",1,2208,"1x",3,"PURE","TPU",96.2,-0.04,0.74,1.36,5.9,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22076.03",1,2208,"1x",3,"9013","PET",95.19,-0.04,1.28,2.4,6.3,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22073.03",1,2208,"1x",3,"9006","TPU",96.18,-0.05,0.72,1.31,5.9,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22079.02",1,2208,"1x",2,"9013","TPU",96.22,-0.04,0.65,1.19,5.1,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22089.09",1,2208,"1x",4,"PURE","TPU",96.17,-0.04,0.76,1.4,5.3,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22070.04",1,2208,"1x",4,"9006","PET",96.03,-0.18,1.11,1.96,3.1,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22073.04",1,2208,"1x",4,"9006","TPU",96.11,-0.05,0.64,1.16,6.8,NA,NA,NA,NA,NA,NA,NA,NA,101.54592,"fullSpectrum"
"sa22081.01",1,2208,"1x",1,"9025","PET",95.34,-0.17,1.17,2.1,6.7,0.101306,0.099422,0.0192033,0.0122164,1213.61,1718.81,2880.22,3381.69,101.54592,"fullSpectrum"
