Wavenumber,sa22088.11,sa22086.11,sa22084.01,sa22078.01,sa22080.11,sa22075.01,sa22072.01,sa22069.01,sa22086.01,sa22088.01,sa22083.01,sa22077.01,sa22080.01,sa22074.01,sa22071.01,sa22068.01,sa22089.01,sa22084.06,sa22087.01,sa22078.06,sa22080.16,sa22075.06,sa22069.06,sa22072.06,sa22088.06,sa22086.06,sa22083.06,sa22080.06,sa22077.06,sa22074.06,sa22071.06,sa22068.06
1547.3,0.155858,0.0243306,0.136854,0.144039,0.0307713,0.0304103,0.147731,0.0297395,0.0343765,0.152938,0.114444,0.12042,0.0320425,0.0270509,0.107362,0.022492,0.154859,0.0884748,0.0276455,0.125213,0.0312996,0.0335354,0.0283929,0.134312,0.153637,0.0307743,0.106057,0.0188584,0.112744,0.0230503,0.150019,0.0193527
1549.17,0.142899,0.0244969,0.126079,0.135617,0.0296738,0.02968,0.135412,0.028507,0.0347614,0.139809,0.106045,0.113761,0.0316869,0.0264829,0.0995409,0.0217417,0.140703,0.0833201,0.0269282,0.118392,0.0301328,0.0326955,0.0275999,0.121851,0.139311,0.030558,0.098055,0.0177839,0.107749,0.0219884,0.135982,0.0174734
1551.03,0.126985,0.0238613,0.112755,0.12557,0.0268412,0.0278172,0.120652,0.0263508,0.0342655,0.124767,0.096821,0.106801,0.0308085,0.0254395,0.0917703,0.0203511,0.125666,0.0780202,0.0266895,0.110989,0.029392,0.0324696,0.026824,0.109299,0.124947,0.0311814,0.091167,0.0175212,0.103954,0.0216379,0.122501,0.0169946
1552.89,0.117438,0.0271527,0.105324,0.120397,0.0294765,0.0308247,0.112092,0.0289193,0.0375304,0.115648,0.0928071,0.104571,0.033472,0.0281623,0.0881291,0.0229152,0.115262,0.0757798,0.0290436,0.106627,0.0310293,0.0341796,0.0288948,0.100605,0.113117,0.0319079,0.0857651,0.0179793,0.100768,0.0216306,0.110405,0.0169011
1554.76,0.101075,0.0227483,0.0908384,0.107453,0.0246626,0.0261245,0.0967427,0.0241533,0.0340177,0.100609,0.0820064,0.0958291,0.0294009,0.0244239,0.0784874,0.0195272,0.0997083,0.0686277,0.0259642,0.0976991,0.0271274,0.0307119,0.026137,0.0881107,0.0983225,0.0296351,0.0773616,0.0161702,0.0957333,0.0197708,0.0968608,0.0153258
1556.62,0.0982115,0.0321404,0.0897164,0.106963,0.0320306,0.0338448,0.0947662,0.0316237,0.0427746,0.0982774,0.0825338,0.0988031,0.0367425,0.0318548,0.0793909,0.027105,0.0948208,0.0711969,0.0327788,0.0982446,0.0330262,0.0367316,0.0314202,0.0842875,0.0916159,0.0343676,0.0747287,0.0191184,0.0949874,0.0224294,0.0883108,0.01687
1558.49,0.0907483,0.0402288,0.083902,0.101124,0.0328976,0.0366467,0.0880705,0.0316231,0.0491355,0.0902403,0.0778748,0.0957261,0.0398095,0.0328082,0.0744888,0.0270224,0.0847266,0.067239,0.0363535,0.0927421,0.0344824,0.0387755,0.0321604,0.0743264,0.0796633,0.0379885,0.0670048,0.0181701,0.0901309,0.0205477,0.0770759,0.0137042
1560.35,0.0702679,0.0363342,0.0649548,0.0839112,0.0221992,0.028932,0.0679469,0.0225439,0.0470013,0.0711134,0.0656817,0.0833323,0.0358233,0.0263321,0.0646149,0.0191106,0.0674154,0.0580779,0.0355585,0.0815522,0.0311294,0.0366659,0.0292828,0.0601444,0.0642121,0.0414685,0.0591504,0.0191545,0.0885756,0.0197445,0.0643813,0.0132419
1562.21,0.0626099,0.0309163,0.0581655,0.0769292,0.020384,0.0267284,0.0608808,0.0219089,0.043092,0.0647402,0.0614629,0.0793307,0.0334024,0.0254527,0.0608637,0.0190654,0.0617986,0.0558691,0.0327977,0.0782104,0.0292715,0.0349508,0.028453,0.0557965,0.0600493,0.0384106,0.056206,0.0187308,0.0872953,0.0201164,0.0591987,0.014288
1564.08,0.0547318,0.0272398,0.0511585,0.0689556,0.0174418,0.0238524,0.0539587,0.0189303,0.0400349,0.0577124,0.0554991,0.0746399,0.0303035,0.0229273,0.055105,0.0172556,0.0550419,0.0518497,0.0302285,0.0735867,0.0268754,0.0324165,0.0265829,0.0498656,0.0539268,0.0361602,0.0514729,0.016733,0.0835281,0.0188083,0.0533521,0.01297
1565.94,0.0479556,0.0271538,0.045668,0.0624171,0.0158569,0.0227394,0.0481523,0.0172901,0.0410823,0.0517929,0.0512778,0.0715167,0.0300616,0.0225343,0.0517075,0.0170236,0.0497435,0.0496094,0.031509,0.0701266,0.0273216,0.0326739,0.0269905,0.0457241,0.0486586,0.0379713,0.0485707,0.0175083,0.0819128,0.0193302,0.0486467,0.0134983
1567.81,0.0483056,0.0334727,0.0469893,0.0627401,0.0203662,0.0274445,0.0490261,0.0215461,0.0483378,0.0521105,0.0530148,0.0731524,0.0349459,0.0271563,0.0531527,0.0211699,0.0487864,0.0512848,0.0364737,0.0701555,0.0309907,0.036596,0.0307092,0.0451922,0.0463778,0.0416701,0.0474769,0.0193327,0.0817703,0.0206655,0.045591,0.0145197
1569.67,0.0426031,0.0347725,0.0415601,0.0573036,0.017815,0.0261755,0.0437783,0.0193432,0.051215,0.046802,0.0488009,0.0691115,0.0347509,0.0253576,0.0493117,0.0188143,0.0427162,0.0476765,0.0375451,0.0654251,0.0299995,0.036871,0.0301925,0.0396887,0.0407819,0.044212,0.043087,0.0185147,0.0800296,0.019623,0.0404748,0.0133158
1571.54,0.0384189,0.0356951,0.0377794,0.0535151,0.0164884,0.0260748,0.0399565,0.0189425,0.0542133,0.0434914,0.0463616,0.0675526,0.0352962,0.0253723,0.0481696,0.0187881,0.0398272,0.0466898,0.0401915,0.0635842,0.0308676,0.0384294,0.0310703,0.0370743,0.0383771,0.047915,0.0419632,0.0202257,0.0810064,0.0207126,0.0376484,0.0146733
1573.4,0.0372721,0.0359281,0.0370203,0.0520266,0.0174923,0.026856,0.0391876,0.0199297,0.0555167,0.0428336,0.0458694,0.0674715,0.0350157,0.0264007,0.0481166,0.020211,0.0392087,0.0467868,0.0411352,0.063271,0.0311946,0.0387911,0.031529,0.0361528,0.0371263,0.0481458,0.0411681,0.0204676,0.0804371,0.0207161,0.0361474,0.0149
1575.26,0.0362031,0.0395035,0.0362929,0.0507457,0.0183278,0.0281336,0.0383639,0.0201086,0.0584991,0.0417061,0.0456739,0.0674815,0.0360053,0.027219,0.0477615,0.0209263,0.0375521,0.0464171,0.0440512,0.0627086,0.0320543,0.0404521,0.0328805,0.0343492,0.0348207,0.0510773,0.0394474,0.0204883,0.080153,0.0205889,0.0341428,0.0140673
1577.13,0.0315123,0.0420773,0.0321404,0.0470433,0.0155246,0.0269375,0.0338767,0.0178404,0.0580507,0.0374199,0.0428817,0.0651455,0.0355525,0.0259175,0.0453997,0.0187475,0.0330929,0.044199,0.0461076,0.0601406,0.0315562,0.040731,0.0325431,0.030717,0.0314172,0.054744,0.0369237,0.0208348,0.0809087,0.0208009,0.0312891,0.0141787
