Wavenumber,sa22087.10,sa22089.10,sa22085.05,sa22082.00,sa22079.05,sa22076.05,sa22073.05,sa22070.05,sa22089.06,sa22087.06,sa22085.01,sa22081.01,sa22079.01,sa22076.01,sa22073.01,sa22070.01
837.034,0.127983,0.0570462,0.0816265,0.0838379,0.0919709,0.0880828,0.0981223,0.0520592,0.0550572,0.161498,0.0791967,0.0987348,0.0838076,0.117684,0.0724429,0.0717548
838.898,0.128679,0.057922,0.0831469,0.0838013,0.0938582,0.0882714,0.100273,0.0523115,0.0552583,0.162743,0.0801146,0.0988274,0.0853842,0.117746,0.0737755,0.0719235
840.762,0.128927,0.0588237,0.08475,0.0835809,0.0956971,0.0882981,0.102368,0.0521835,0.0556131,0.164192,0.0812083,0.0986609,0.0868046,0.118018,0.0751964,0.0720297
842.627,0.130102,0.059835,0.0865319,0.0838539,0.0974488,0.0882967,0.104814,0.0524567,0.0567751,0.166266,0.0829767,0.0988275,0.0884726,0.118468,0.0772466,0.0722383
844.491,0.131064,0.0609624,0.0881252,0.0834602,0.099243,0.0883082,0.106978,0.0531591,0.0583634,0.16794,0.0852652,0.0985974,0.0905485,0.118169,0.0788717,0.0725295
846.355,0.130569,0.0617447,0.0895628,0.0827426,0.100375,0.0876378,0.108262,0.0534439,0.059194,0.167561,0.0869562,0.0973303,0.0918661,0.116833,0.0795318,0.0725845
848.219,0.127863,0.062601,0.0907102,0.0818991,0.101199,0.0859558,0.10938,0.0532511,0.0597752,0.164775,0.0881486,0.0955632,0.0926193,0.1148,0.0803916,0.0725712
850.083,0.123605,0.0633,0.0914633,0.0806045,0.10167,0.0848424,0.110542,0.0532195,0.0604053,0.159998,0.0890111,0.0943438,0.0927333,0.112198,0.0813252,0.0725554
851.948,0.120067,0.0637495,0.0929238,0.0799798,0.101665,0.0843255,0.111158,0.0537978,0.0607819,0.155174,0.0897214,0.0940417,0.0928784,0.11038,0.0818685,0.0729087
853.812,0.118248,0.0640046,0.0943946,0.0807399,0.102334,0.0842665,0.11191,0.0545818,0.0610244,0.152231,0.0907319,0.094135,0.0936345,0.109853,0.0822204,0.0739843
855.676,0.116893,0.0638507,0.0950019,0.0814512,0.102601,0.0851532,0.112718,0.0551054,0.0608541,0.150164,0.0920084,0.0944589,0.0940737,0.109974,0.0819939,0.074896
857.54,0.116273,0.0635594,0.0957383,0.082377,0.102509,0.0863184,0.113545,0.0557421,0.0604042,0.148952,0.0933296,0.0953859,0.0943602,0.110541,0.0818419,0.0757866
859.405,0.117536,0.06348,0.0969265,0.0843852,0.103219,0.0876238,0.114521,0.0567022,0.0602491,0.15033,0.0945271,0.0973859,0.0950562,0.111931,0.0824335,0.077223
861.269,0.120258,0.0636048,0.0984563,0.0867928,0.103629,0.0896588,0.11571,0.0577984,0.0601005,0.154436,0.0953481,0.10041,0.0958195,0.114781,0.0829849,0.0786646
863.133,0.125181,0.0638219,0.100249,0.0896233,0.104082,0.0928635,0.116943,0.0588902,0.0602844,0.161375,0.0970152,0.104414,0.0966798,0.119297,0.0837788,0.0805196
864.997,0.133177,0.0638375,0.101601,0.0936975,0.104949,0.0972012,0.118228,0.0599831,0.0606292,0.172823,0.0986796,0.109782,0.0972592,0.125648,0.0846612,0.0830292
866.861,0.145191,0.0639943,0.10195,0.0984661,0.1053,0.10218,0.119134,0.06092,0.0609043,0.190711,0.0992267,0.1161,0.0974033,0.134651,0.0850621,0.0852216
868.726,0.16216,0.0649824,0.102578,0.103557,0.105837,0.10748,0.119742,0.0612713,0.0614969,0.217117,0.0997113,0.123124,0.0979662,0.146093,0.0855473,0.0864203
870.59,0.175464,0.0664649,0.104004,0.104769,0.107163,0.108626,0.120823,0.0600562,0.0626408,0.239371,0.100285,0.125516,0.0988535,0.152113,0.0866016,0.0847172
872.454,0.167794,0.0672666,0.10449,0.097169,0.107881,0.100697,0.121431,0.0572285,0.063573,0.229085,0.100389,0.116139,0.0996063,0.141725,0.0874441,0.0795352
874.318,0.144329,0.0679095,0.104262,0.0870479,0.108464,0.0902309,0.121823,0.0553659,0.0642974,0.193863,0.100753,0.102464,0.100512,0.123365,0.0880854,0.0750239
876.183,0.126428,0.068718,0.104653,0.0819195,0.109474,0.084721,0.122856,0.0552499,0.0650838,0.166698,0.101444,0.0949857,0.10138,0.112242,0.0888348,0.0735453
878.047,0.117946,0.0696269,0.105747,0.0802596,0.11045,0.0827885,0.124231,0.0554291,0.0657857,0.152865,0.102165,0.0927576,0.10236,0.107564,0.089629,0.0733294
879.911,0.113365,0.0707373,0.106987,0.0792389,0.111399,0.0824169,0.12538,0.0557186,0.0666182,0.144935,0.10317,0.0917102,0.103559,0.10513,0.0906827,0.0737034
881.775,0.110553,0.0726252,0.108538,0.0793235,0.113068,0.0828209,0.126772,0.0566093,0.0680313,0.13999,0.105024,0.091573,0.105208,0.10409,0.092354,0.0745984
883.639,0.108678,0.074282,0.109862,0.0799764,0.114826,0.0830838,0.128738,0.057395,0.0696036,0.136972,0.106792,0.0920025,0.106235,0.104049,0.0940999,0.075461
885.504,0.107543,0.0758484,0.111233,0.0799334,0.116715,0.0834614,0.131063,0.0577395,0.0712649,0.135319,0.108142,0.092222,0.107039,0.104306,0.0961461,0.076198
887.368,0.107238,0.0776353,0.113089,0.0799245,0.118365,0.0840888,0.133446,0.0582251,0.0728468,0.135245,0.110021,0.092989,0.108348,0.104577,0.0988474,0.0769919
889.232,0.107934,0.0796059,0.115264,0.0808315,0.120118,0.0847986,0.13652,0.0588958,0.0749444,0.136009,0.112269,0.0943378,0.10969,0.105269,0.101665,0.0778054
891.096,0.108836,0.0815108,0.116859,0.0813641,0.122246,0.0850977,0.139361,0.059435,0.0771544,0.136405,0.1143,0.0949354,0.110717,0.105843,0.1039,0.0782843
892.96,0.109796,0.0844746,0.118999,0.0819749,0.124591,0.0854941,0.141749,0.0598327,0.0806648,0.137513,0.116981,0.0954128,0.112363,0.106591,0.106928,0.0784266
894.825,0.110464,0.0896621,0.121441,0.0824896,0.1271,0.0859147,0.143937,0.0599052,0.0860242,0.139004,0.119541,0.0960745,0.113885,0.107368,0.110484,0.0788846
896.689,0.110857,0.0967236,0.123549,0.082594,0.129881,0.0861701,0.145526,0.0604464,0.0924218,0.139839,0.121314,0.0962619,0.114988,0.107987,0.114432,0.0797091
898.553,0.110722,0.101821,0.124414,0.0825508,0.13124,0.0860129,0.145615,0.0609983,0.0970355,0.139212,0.121871,0.0963303,0.116128,0.108317,0.117138,0.0802174
900.417,0.109986,0.101578,0.124355,0.0827158,0.131504,0.0862044,0.145406,0.0614009,0.0972055,0.137816,0.121353,0.0960642,0.117524,0.107919,0.116746,0.0805517
902.282,0.108954,0.0965132,0.123563,0.0828984,0.131111,0.0864049,0.144734,0.0615581,0.0924391,0.136477,0.119959,0.0952395,0.118859,0.107183,0.113145,0.0807162
