Wavenumber,sa22089.14,sa22088.00,sa22087.14,sa22086.00,sa22085.09,sa22083.00,sa22080.00,sa22082.04,sa22079.09,sa22077.00,sa22076.09,sa22074.00,sa22073.09,sa22071.00,sa22070.09,sa22068.00
1621.87,0.0339525,0.0340039,0.0460327,0.0454554,0.0616528,0.0560127,0.0320877,0.038643,0.0978806,0.0987052,0.0440454,0.0485465,0.0414255,0.064992,0.0419188,0.0279869
1623.73,0.0384416,0.0386109,0.0512101,0.0510218,0.0616042,0.0573772,0.0338635,0.0404681,0.10248,0.103261,0.0473714,0.0519442,0.044544,0.0653846,0.0439028,0.029407
1625.6,0.0407151,0.0407187,0.0527836,0.0525932,0.0620285,0.0578721,0.0349719,0.0408862,0.106564,0.106827,0.049071,0.0534902,0.0461746,0.0652589,0.0444715,0.0299437
1627.46,0.0401115,0.040029,0.0514961,0.0513969,0.0617534,0.0576209,0.0339164,0.0396894,0.109868,0.109793,0.0485591,0.0539304,0.0463774,0.0662522,0.0439843,0.029675
1629.33,0.0414474,0.0417249,0.0523133,0.0524475,0.0651943,0.0609412,0.0353304,0.0411318,0.118085,0.118167,0.0511351,0.0573336,0.049076,0.0712687,0.0462057,0.0314865
1631.19,0.0412787,0.0419042,0.0500569,0.0499957,0.069372,0.0641915,0.0362207,0.0418692,0.12469,0.124995,0.0522658,0.0585646,0.0505901,0.0767051,0.0474908,0.0326746
1633.06,0.0404596,0.0410997,0.0471175,0.0468573,0.0728263,0.0667016,0.0359507,0.0415323,0.129445,0.12993,0.0520985,0.0585185,0.0518935,0.0822908,0.0482809,0.033375
1634.92,0.0473404,0.047636,0.0542789,0.0539797,0.0802622,0.074104,0.0394326,0.0460524,0.139005,0.139019,0.0564592,0.0636699,0.0589639,0.0907788,0.0525893,0.036293
1636.78,0.0598193,0.0603371,0.0685967,0.0683963,0.0854211,0.0819563,0.0454605,0.0531481,0.145017,0.145238,0.064204,0.0710416,0.0684244,0.0947241,0.0578903,0.0396025
1638.65,0.0599236,0.0599259,0.0653862,0.0656577,0.0749748,0.0748096,0.0415269,0.0483947,0.130937,0.131427,0.0600636,0.0659214,0.0650472,0.0834937,0.0525457,0.0354477
1640.51,0.0557777,0.0556017,0.0574124,0.0579894,0.0620101,0.0644487,0.0343568,0.0401261,0.114,0.113958,0.0522762,0.0580758,0.0591729,0.0708174,0.0449781,0.0295352
1642.38,0.0559458,0.0562005,0.0543502,0.0549179,0.0543823,0.0592487,0.0308698,0.0359495,0.102704,0.102101,0.0478453,0.0535075,0.0572854,0.0629859,0.0401376,0.0262449
1644.24,0.0592817,0.059139,0.0536573,0.0541651,0.050749,0.0576897,0.0294108,0.0339722,0.0960041,0.0945983,0.044865,0.0507258,0.0583554,0.059519,0.0372276,0.0248035
1646.1,0.0707146,0.0695798,0.0613731,0.062071,0.0541003,0.0634082,0.0322689,0.0368664,0.0966186,0.0945836,0.0476468,0.0535879,0.0661272,0.0628993,0.0395184,0.0264074
1647.97,0.0843487,0.0834395,0.0718157,0.0722245,0.0601965,0.071966,0.0375852,0.0429865,0.0997384,0.0982545,0.0540622,0.0585285,0.0763681,0.0678852,0.0445523,0.0295077
1649.83,0.0823201,0.0818984,0.0637557,0.0640192,0.0556783,0.0683744,0.0335323,0.0392032,0.0928128,0.0918194,0.0488648,0.0529032,0.0747191,0.0643074,0.0401548,0.0267444
1651.7,0.0853292,0.0842707,0.0577681,0.059542,0.0535512,0.0683545,0.0283373,0.0348354,0.0894867,0.0874585,0.0432673,0.0486217,0.0772049,0.0659406,0.0354622,0.0238855
1653.56,0.125837,0.123895,0.0824517,0.0853946,0.0731036,0.0961728,0.0376998,0.046,0.109319,0.105693,0.0564211,0.0625657,0.110722,0.0904556,0.0473669,0.0311016
1655.43,0.145785,0.144012,0.0906192,0.0917775,0.0786265,0.10605,0.0421073,0.0501033,0.114068,0.111374,0.0621853,0.0671891,0.126373,0.0970995,0.0525059,0.0330798
1657.29,0.136504,0.134852,0.0756286,0.07624,0.0679919,0.0950496,0.0342439,0.0415547,0.103269,0.100851,0.053168,0.0587446,0.119492,0.0887283,0.044727,0.0271334
1659.15,0.139295,0.137478,0.069893,0.0703581,0.0646544,0.093195,0.0303881,0.0374958,0.10131,0.0985696,0.0493439,0.0558662,0.122847,0.0888402,0.0414902,0.0244828
1661.02,0.150629,0.148329,0.072334,0.0729829,0.0680804,0.0988383,0.0308639,0.0382973,0.106911,0.103882,0.0502954,0.057752,0.132502,0.0945313,0.0421468,0.0246573
1662.88,0.166079,0.163403,0.0801418,0.0811554,0.0757375,0.109599,0.0342329,0.0422423,0.118471,0.114965,0.0551716,0.0634822,0.146111,0.103994,0.0463086,0.0271993
1664.75,0.173802,0.171194,0.0843452,0.0852091,0.080466,0.115715,0.0367899,0.0448419,0.127719,0.123516,0.0590347,0.0677166,0.152975,0.109143,0.048988,0.0289679
