ID,L*,a*,b*,YI E313 [D65/10],Haze % D65/10
sa22068.03,95.15,-0.74,2.97,5.06,10.4
sa22068.04,94.77,-0.71,3.13,5.41,12.4
sa22068.05,95.06,-0.67,2.93,5.04,9.4
sa22068.08,90.19,-0.46,3.55,6.64,75.2
sa22068.09,90.68,-0.5,4.15,7.74,68.5
sa22069.00,91.53,-0.42,2.11,3.82,68.6
sa22071.03,96.53,0.01,0.38,0.71,4.2
sa22071.04,96.58,0.03,0.3,0.57,4.4
sa22071.04,96.55,0.02,0.35,0.67,3.8
sa22071.08,95.95,-0.08,0.87,1.57,11.5
sa22071.09,95.8,0.06,0.56,1.1,20.8
sa22072.000,95.71,0.07,0.64,1.25,26.6
sa22074.03,94.98,-0.74,3.32,5.71,11.5
sa22074.04,95.09,-0.81,3.68,6.32,5.1
sa22074.05,95.29,-0.73,3.09,5.27,4.5
sa22074.08,92.28,-0.4,2.34,4.25,68.6
sa22074.098,91.97,-0.5,2.24,3.99,59.1
sa22075.00,91.38,-0.34,2.62,4.87,69.1
sa22077.04,96.32,-0.01,0.54,1.01,4.5
sa22077.05,96.32,-0.09,1.01,1.84,5.6
sa22077.08,95.76,0.03,0.69,1.32,23.1
sa22077.09,95.91,-0.07,1.01,1.86,14.5
sa22078.00,96.31,0,0.59,1.1,9
sa22080.03,94.75,-0.67,3.07,5.31,18.1
sa22080.04,95.22,-0.77,2.99,5.07,10.2
sa22080.05,94.56,-0.92,2.87,4.77,18.3
sa22080.08,91.32,-0.43,2.61,4.78,75.1
sa22080.09,91.95,-0.42,2.44,4.45,63.8
sa22080.10,92.44,-0.36,2.41,4.4,55
22083.03,96.56,0.01,0.42,0.79,3.2
sa22083.04,96.4,-0.04,0.8,1.46,4.4
sa22083.05,96.5,-0.05,0.86,1.58,3.8
sa22083.08,95.83,0,0.56,1.06,10.1
sa22083.09,96.31,0.01,0.52,0.97,14.3
sa22084.00,94.37,0.02,0.89,1.72,44
22086.03,94.82,-0.62,2.61,4.48,20.1
sa22086.04,94.93,-0.65,2.7,4.63,29.2
sa22086.05,95.17,-0.63,2.55,4.35,8.1
sa22086.08,91.37,-0.35,2.48,4.58,90.5
sa22086.09,90.35,-0.5,3,5.52,88.8
sa22086.10,91.84,-0.42,2.16,3.9,86.4
sa22088.03,96.59,0.03,0.34,0.64,4.4
sa22088.04,96.6,0.02,0.39,0.73,4.3
sa22088.05,96.6,0.02,0.37,0.7,4.2
sa22088.08,96.25,0.02,0.45,0.86,10.5
a22088.09,95.97,0.03,0.51,0.99,12
sa22088.10,96.03,0.04,0.43,0.82,9.8
